A_ID,B_ID
16050065,1520386146341117953
16050065,1520386176477188100
16050065,1520386209595465737
16050065,1520386234589323265
531618878,1502170712802398209
16050065,1520386261931995136
1098294927774048256,1514991011529105410
16050065,1520386302063087622
1235970884113850368,1482037687603576832
3191251289,1500846680891006977
16050065,1520386338079531013
2968463795,1482786587129913344
16050065,1520386473039704065
16050065,1520386500420161539
16050065,1520386551091449862
16050065,1520386604380168192
16050065,1520386633387982850
1401655903133134855,1489440856922894337
16050065,1520386683128139783
750658704949678081,1505987671784837120
16050065,1520386731194867713
16050065,1520386779303628801
16050065,1520386809112502275
16050065,1520386856118108160
16050065,1520386886681997313
16050065,1520386916046229506
16050065,1520386940578770950
233186560,1482720970280423429
1229752606714728454,1496052146927808523
1325897417800216579,1509972370244595712
242426145,1502715001278193668
1465573958,1484201394211110925
2439127994,1485017610357985280
15066876,1485325150023258116
2813049204,1490635485571649536
29418196,1487191042562871296
29418196,1489094880219463681
819019776844513280,1513895329682366466
953924228306305024,1478238444396683267
2439127994,1485017381688725507
16050065,1520386965039841281
1505993402,1502903753153953798
782018153207431168,1496397062757302272
960832142916890624,1491701823367180294
477934944,1512458717744140291
16050065,1520387030471315461
16050065,1520387072896425984
16050065,1520387099157045248
182497912,1484247822664884225
1300009654169280517,1504535207667552260
1300009654169280517,1504548206960648200
1108297656550318080,1489632558874652672
1239895217693691905,1512418349631692809
18831926,1478123145089282052
770650559699386369,1500495096227241992
1300009654169280517,1504548231639932936
171314974,1500495038010253315
739844197935644672,1500251857184305152
1179048675122782249,1483297930786320386
1382431445063495688,1495447107993485314
1008340728114601984,1494036812956049408
130651720,1497807392595222528
130557513,1491748466929848323
953924228306305024,1490075241850146818
1271489698612084736,1485215814966026240
2439127994,1500261153338904579
18831926,1495152412666986496
760506928011186176,1487791837553307649
953924228306305024,1498302479091568649
2439127994,1486484621151936515
18831926,1495151787656974338
1212560564225900544,1510600290147663874
1213960012755656704,1520095055456968707
1297703836187086848,1484660958337196033
960832142916890624,1517772780250480642
343452680,1490805854685343748
343452680,1500129619080581124
20641934,1514128876686958594
1298243926420267014,1486554734181994497
953924228306305024,1490075631282917376
1239875674028101632,1512991141423104006
94350709,1490053584691425282
760219193195302912,1497733319735144449
17027632,1482469314439651330
3241876331,1485832986146787330
3002029764,1485833173590228994
1224566569319239680,1485833099397283844
1271489698612084736,1485215381119766529
15028398,1484571201645199371
1376155177208721412,1484059464969777152
841613136843157504,1492200046070480896
2732180892,1480145778568015873
2732180892,1500152334327951366
4823705386,1493305527484440577
271075882,1504529549928943628
271075882,1507868693958578179
1167156714921222145,1477512525658963974
2813049204,1514565719828180994
1336851094698418178,1488345703512371203
2709141217,1505482181573021697
2472497250,1482070522322108423
1008688766062661632,1498356855399235584
3425014283,1504996303293624323
2813049204,1513474457251336199
286955909,1480039651356332032
32625314,1487014050873630724
33727663,1500256601931878400
1185222369234825216,1520391076334514177
212445456,1479691318125281280
1298243926420267014,1486600488455794688
1243884230532366337,1480845436097384453
18831926,1478474414236725251
15718122,1492679404681457666
3398432139,1500198686764281866
1219213114895302656,1485447714104299521
237045706,1478112046520672262
2272185878,1480298942671859722
3143559223,1485845625316909059
1435506024916586499,1502218921625239552
21059255,1478606586801127424
18831926,1493002977208152066
18831926,1493070132901519360
18831926,1495147107270807553
18831926,1495148090344427520
18831926,1495148312776753155
18831926,1495148427105161217
18831926,1495150263258157056
18831926,1495150489410760704
24037757,1477318276141273091
1388928926869753857,1496747135315890186
160295771,1481674343851700227
1233660354498088962,1487712753095782402
1233660354498088962,1496469803577622530
18831926,1493059333315350532
18831926,1493069933101694979
18831926,1492999470778359809
2439127994,1509626362331549709
1271489698612084736,1485215278162223107
18831926,1509000886470729728
11912362,1504045720034324484
1229752606714728454,1482437452732243971
1229752606714728454,1482614038131625984
3124786444,1503948386151837700
23371841,1481771860169834500
159021888,1497130245438468099
2552935555,1497221026240938023
865315737690284032,1487947088683929602
55117013,1498483251698356228
4830874006,1507003504463794181
990915242526957569,1504176171721773056
2739085923,1507632761691119621
149106359,1514991084996534276
1108565574,1479037202445131776
865315737690284032,1487947003879256065
17680518,1484939319030779906
953924228306305024,1498302642358992896
199516357,1507253562233229314
18831926,1516643752131145728
1330172754490953732,1506466895112941571
2320755170,1501205703855427591
1405949898604703744,1493607433712902148
2531333780,1481024799438741504
12321952,1478809011671687168
2916395070,1517597460751077377
713761799103971331,1486990550599454720
713761799103971331,1486990588339789825
865315737690284032,1487946812929368064
2880049930,1477646583621632005
2813049204,1483478063866331142
50123331,1489337953532792832
50123331,1495118109287485441
865315737690284032,1487946540933017600
19489067,1518612683326697480
1167153177818361856,1479570311892783106
490002009,1520256712896544769
2439127994,1481237511997472771
29447428,1489546926773182468
2318108012,1483080546909622277
2318108012,1494702515828375552
1193613424783249409,1480992009133432835
1456108406947807236,1480523974777974791
1456108406947807236,1480524400340447237
1456108406947807236,1480524368463675394
903681781567651840,1480294253838409731
2905578252,1480355006695952386
16275858,1503476948818960390
1105638331495309314,1484628108468572160
57320778,1513260566244171778
1231189221450403841,1484490547595292673
56768709,1477395264742707203
56768709,1510809582171398145
